Month,South,West,Midwest,Northeast,South Atlantic,Mountain,East North Central,New England,East South Central,Pacific,West North Central,Middle Atlantic,West South Central
13-Nov,1.50%,1.30%,1.00%,1.00%,,,,,,,,,
13-Dec,1.80%,1.80%,1.00%,1.30%,,,,,,,,,
14-Jan,1.70%,1.70%,1.40%,1.50%,,,,,,,,,
14-Feb,1.20%,1.30%,0.90%,1.00%,,,,,,,,,
14-Mar,1.50%,1.50%,1.50%,1.50%,,,,,,,,,
14-Apr,2.30%,1.80%,1.90%,1.60%,,,,,,,,,
14-May,2.40%,2.30%,1.60%,2.00%,,,,,,,,,
14-Jun,2.30%,2.30%,1.70%,1.90%,,,,,,,,,
14-Jul,2.00%,2.30%,1.80%,1.80%,,,,,,,,,
14-Aug,1.70%,2.10%,1.60%,1.30%,,,,,,,,,
14-Sep,1.70%,2.00%,1.60%,1.20%,,,,,,,,,
14-Oct,1.60%,2.00%,1.60%,1.40%,,,,,,,,,
14-Nov,1.30%,1.70%,1.20%,0.90%,,,,,,,,,
14-Dec,0.60%,1.30%,0.70%,0.40%,,,,,,,,,
15-Jan,-0.40%,0.70%,-0.30%,-0.40%,,,,,,,,,
15-Feb,-0.30%,0.90%,-0.50%,-0.20%,,,,,,,,,
15-Mar,-0.30%,1.10%,-0.90%,-0.40%,,,,,,,,,
15-Apr,-0.60%,1.00%,-1.10%,-0.30%,,,,,,,,,
15-May,-0.40%,1.20%,-0.80%,-0.30%,,,,,,,,,
15-Jun,-0.10%,1.10%,-0.70%,0.00%,,,,,,,,,
15-Jul,-0.10%,1.30%,-0.50%,-0.20%,,,,,,,,,
15-Aug,-0.20%,1.30%,-0.30%,-0.10%,,,,,,,,,
15-Sep,-0.40%,1.00%,-0.80%,-0.10%,,,,,,,,,
15-Oct,-0.10%,1.10%,-0.30%,-0.10%,,,,,,,,,
15-Nov,0.30%,1.50%,-0.20%,0.30%,,,,,,,,,
15-Dec,0.50%,1.80%,0.00%,0.50%,,,,,,,,,
16-Jan,1.20%,2.60%,0.80%,0.70%,,,,,,,,,
16-Feb,0.70%,2.10%,0.40%,0.70%,,,,,,,,,
16-Mar,0.70%,1.50%,0.50%,0.60%,,,,,,,,,
16-Apr,0.90%,1.80%,0.80%,1.00%,,,,,,,,,
16-May,0.90%,1.50%,0.80%,0.90%,,,,,,,,,
16-Jun,0.80%,1.60%,0.80%,0.70%,,,,,,,,,
16-Jul,0.70%,1.40%,0.40%,0.80%,,,,,,,,,
16-Aug,1.00%,1.50%,0.60%,1.00%,,,,,,,,,
16-Sep,1.40%,2.00%,1.10%,1.30%,,,,,,,,,
16-Oct,1.50%,2.30%,1.00%,1.60%,,,,,,,,,
16-Nov,1.60%,2.30%,1.20%,1.60%,,,,,,,,,
16-Dec,2.00%,2.50%,1.80%,1.90%,,,,,,,,,
17-Jan,2.60%,2.50%,2.20%,2.50%,,,,,,,,,
17-Feb,2.80%,3.00%,2.40%,2.60%,,,,,,,,,
17-Mar,2.20%,3.10%,1.90%,2.20%,,,,,,,,,
17-Apr,2.00%,2.90%,1.80%,1.90%,,,,,,,,,
17-May,1.70%,2.60%,1.40%,1.70%,,,,,,,,,
17-Jun,1.50%,2.50%,0.90%,1.50%,,,,,,,,,
17-Jul,1.60%,2.50%,1.30%,1.30%,,,,,,,,,
17-Aug,1.90%,2.70%,1.50%,1.60%,,,,,,,,,
17-Sep,2.40%,2.90%,1.50%,1.90%,,,,,,,,,
17-Oct,2.00%,2.90%,1.50%,1.50%,,,,,,,,,
17-Nov,2.10%,3.10%,1.90%,1.60%,,,,,,,,,
17-Dec,1.80%,3.10%,1.70%,1.70%,,,,,,,,,
18-Jan,1.80%,3.10%,1.60%,1.60%,,,,,,,,,
18-Feb,2.10%,3.10%,1.70%,1.70%,,,,,,,,,
18-Mar,2.30%,3.20%,1.80%,2.00%,,,,,,,,,
18-Apr,2.40%,3.20%,1.80%,2.10%,,,,,,,,,
18-May,2.70%,3.50%,2.30%,2.50%,,,,,,,,,
18-Jun,2.70%,3.60%,2.50%,2.60%,,,,,,,,,
18-Jul,2.90%,3.60%,2.40%,2.70%,,,,,,,,,
18-Aug,2.40%,3.60%,2.10%,2.70%,,,,,,,,,
18-Sep,1.70%,3.40%,1.90%,2.20%,,,,,,,,,
18-Oct,2.10%,3.50%,2.20%,2.30%,,,,,,,,,
18-Nov,1.90%,3.30%,1.40%,1.90%,,,,,,,,,
18-Dec,1.50%,3.10%,1.30%,1.70%,2.00%,3.00%,1.20%,2.20%,0.90%,3.10%,1.30%,1.60%,1.00%
19-Jan,1.20%,2.70%,0.80%,1.50%,1.50%,2.30%,0.80%,2.00%,0.60%,2.90%,0.80%,1.30%,0.80%
19-Feb,1.10%,2.40%,1.30%,1.30%,1.50%,1.80%,1.40%,1.60%,0.70%,2.60%,0.90%,1.20%,0.70%
19-Mar,1.60%,2.40%,1.70%,1.70%,2.00%,2.10%,1.70%,2.10%,1.00%,2.60%,1.50%,1.50%,1.40%
19-Apr,1.80%,2.90%,1.50%,1.70%,2.30%,2.20%,1.50%,2.10%,0.70%,3.10%,1.70%,1.50%,1.40%
